iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
AFG,Asia,Afghanistan,2021-09-02,153306.0,46.0,69.143,7127.0,4.0,4.857,3848.484,1.155,1.736,178.911,0.1,0.122,0.63,,,,,,,,,,,,,,,,,,1979652.0,773002.0,430744.0,,,70761.0,4.97,1.94,1.08,,1776.0,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,
OWID_AFR,,Africa,2021-09-02,7849133.0,27946.0,26798.0,197763.0,846.0,733.571,5714.751,20.347,19.511,143.986,0.616,0.534,,,,,,,,,,,,,,,,,,,105877992.0,70379524.0,39361100.0,,337861.0,1362756.0,7.71,5.12,2.87,,992.0,,1373486472.0,,,,,,,,,,,,,,,
ALB,Europe,Albania,2021-09-02,148222.0,853.0,852.714,2505.0,4.0,2.714,51592.553,296.909,296.81,871.931,1.392,0.945,1.44,,,,,,,,,,,,,,,,,,1485250.0,836613.0,648637.0,,12934.0,11371.0,51.7,29.12,22.58,,3958.0,37.96,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,
DZA,Africa,Algeria,2021-09-02,196915.0,388.0,463.0,5339.0,37.0,31.143,4413.489,8.696,10.377,119.664,0.829,0.698,0.82,35.0,0.784,,,,,,,,,,,,,,,,4146091.0,3421279.0,724812.0,,,22369.0,9.29,7.67,1.62,,501.0,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,
AND,Europe,Andorra,2021-09-02,15052.0,6.0,5.143,130.0,0.0,0.0,194585.93,77.565,66.485,1680.585,0.0,0.0,0.59,,,,,,,,,,208619.0,2696.939,,168.0,2.172,0.041,24.5,people tested,,,,,,,,,,,,51.85,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,
AGO,Africa,Angola,2021-09-02,48004.0,223.0,182.571,1235.0,8.0,7.571,1414.645,6.572,5.38,36.395,0.236,0.223,1.07,,,,,,,,,,,,,,,,,,2086325.0,1165755.0,920570.0,,,34965.0,6.15,3.44,2.71,,1030.0,,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,
AIA,North America,Anguilla,2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18458.0,9493.0,8965.0,,,0.0,122.04,62.76,59.27,,0.0,,15125.0,,,,,,,,,,,,,81.88,,
ATG,North America,Antigua and Barbuda,2021-09-02,1742.0,23.0,20.571,44.0,0.0,0.143,17644.437,232.963,208.365,445.669,0.0,1.447,1.65,,,,,,,,,,,,,,,,,,75069.0,41061.0,34008.0,,432.0,310.0,76.04,41.59,34.45,,3140.0,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,
ARG,South America,Argentina,2021-09-02,5195601.0,4653.0,4810.714,112195.0,190.0,154.0,113924.071,102.026,105.485,2460.103,4.166,3.377,0.81,,,,,,,,,38301.0,13143085.0,288.189,0.84,34443.0,0.755,0.062,16.1,tests performed,43221929.0,28100621.0,15121308.0,,429252.0,402074.0,94.77,61.62,33.16,,8816.0,75.93,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
ARM,Asia,Armenia,2021-09-02,243386.0,636.0,521.0,4876.0,19.0,13.0,81999.833,214.276,175.532,1642.786,6.401,4.38,1.16,,,,,,,,,6918.0,1511103.0,509.11,2.331,7091.0,2.389,0.071,14.2,tests performed,275138.0,176552.0,98586.0,,,5114.0,9.27,5.95,3.32,,1723.0,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,
ABW,North America,Aruba,2021-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148757.0,78898.0,69859.0,,125.0,240.0,138.77,73.6,65.17,,2239.0,43.52,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,
OWID_ASI,,Asia,2021-09-02,70545015.0,183715.0,240076.429,1045747.0,2392.0,3772.286,15074.814,39.258,51.302,223.466,0.511,0.806,,,,,,,,,,,,,,,,,,,3599352327.0,2104212124.0,1358102202.0,12764507.0,23272320.0,30032509.0,76.91,44.97,29.02,0.27,6418.0,,4679660580.0,,,,,,,,,,,,,,,
AUS,Oceania,Australia,2021-09-02,58208.0,1648.0,1341.714,1032.0,13.0,5.857,2257.155,63.905,52.028,40.018,0.504,0.227,1.39,,,,,,,,,227561.0,31350695.0,1215.698,8.824,226807.0,8.795,0.005,195.7,tests performed,20028084.0,12569262.0,7458822.0,,330586.0,277840.0,77.66,48.74,28.92,,10774.0,71.76,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUT,Europe,Austria,2021-09-02,691663.0,1510.0,1435.143,10778.0,3.0,0.857,76485.402,166.979,158.701,1191.852,0.332,0.095,1.2,113.0,12.496,343.0,37.93,,,,,332283.0,76013008.0,8405.662,36.744,311482.0,34.444,0.004,231.2,tests performed,10469177.0,5513071.0,5213214.0,,10428.0,12371.0,115.77,60.96,57.65,,1368.0,58.8,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,
AZE,Asia,Azerbaijan,2021-09-02,432495.0,3759.0,3850.429,5722.0,45.0,41.143,42304.651,367.688,376.631,559.699,4.402,4.024,1.19,,,,,,,,,11191.0,4442244.0,434.52,1.095,17486.0,1.71,0.218,4.6,tests performed,7009933.0,4239851.0,2770082.0,,98494.0,84342.0,68.57,41.47,27.1,,8250.0,61.11,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,
BHS,North America,Bahamas,2021-09-02,18576.0,437.0,122.714,412.0,31.0,9.857,46801.07,1100.994,309.171,1038.008,78.103,24.834,1.04,,,,,,,,,,,,,,,,,,146738.0,91967.0,57593.0,,,3213.0,36.97,23.17,14.51,,8095.0,54.17,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHR,Asia,Bahrain,2021-09-02,272709.0,74.0,95.286,1388.0,0.0,0.0,155985.689,42.327,54.502,793.916,0.0,0.0,0.98,,,,,,,,,15853.0,5916779.0,3384.314,9.068,19339.0,11.062,0.005,183.4,units unclear,2497458.0,1149200.0,1090455.0,,4684.0,3812.0,142.85,65.73,62.37,,2180.0,,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,
BGD,Asia,Bangladesh,2021-09-02,1507116.0,3436.0,3498.286,26362.0,88.0,90.429,9062.443,20.661,21.036,158.517,0.529,0.544,0.64,,,,,,,,,27921.0,8885667.0,53.43,0.168,31077.0,0.187,0.136,7.4,tests performed,26821841.0,18767307.0,8054534.0,,350022.0,367207.0,16.13,11.28,4.84,,2208.0,57.41,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,
BRB,North America,Barbados,2021-09-02,5152.0,80.0,58.714,51.0,0.0,0.429,17907.045,278.06,204.076,177.263,0.0,1.49,1.52,,,,,,,,,,,,,,,,,,204266.0,109905.0,94361.0,,1501.0,1323.0,71.0,38.2,32.8,,4598.0,50.0,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,
BLR,Europe,Belarus,2021-09-02,485067.0,1836.0,1523.429,3803.0,12.0,11.429,51368.615,194.432,161.331,402.738,1.271,1.21,1.15,,,,,,,,,19442.0,7777175.0,823.603,2.059,16649.0,1.763,0.083,12.0,tests performed,2963378.0,1626825.0,1336553.0,,,18591.0,31.38,17.23,14.15,,1969.0,39.81,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,
BEL,Europe,Belgium,2021-09-02,1189710.0,2204.0,2019.286,25392.0,10.0,5.429,102276.121,189.472,173.592,2182.881,0.86,0.467,1.09,191.0,16.42,632.0,54.331,,,422.996,36.364,20959.0,18646220.0,1602.965,1.802,40803.0,3.508,0.054,18.5,tests performed,16219756.0,8431367.0,8146325.0,,14322.0,29227.0,139.44,72.48,70.03,,2513.0,43.06,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BLZ,North America,Belize,2021-09-02,16612.0,119.0,102.714,362.0,0.0,0.857,41025.894,293.889,253.669,894.015,0.0,2.117,1.28,,,,,,,,,,211942.0,523.423,,1418.0,3.502,0.062,16.2,tests performed,237507.0,167596.0,69911.0,,,2012.0,58.66,41.39,17.27,,4969.0,66.67,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,
BEN,Africa,Benin,2021-09-02,15932.0,0.0,491.429,131.0,0.0,0.571,1279.573,0.0,39.469,10.521,0.0,0.046,0.25,,,,,,,,,,,,,,,,,,141738.0,120333.0,42212.0,,,3393.0,1.14,0.97,0.34,,273.0,37.04,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,
BMU,North America,Bermuda,2021-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84748.0,42826.0,41922.0,,,104.0,136.49,68.97,67.52,,1675.0,,62092.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,
BTN,Asia,Bhutan,2021-09-02,2596.0,0.0,0.714,3.0,0.0,0.0,3328.632,0.0,0.916,3.847,0.0,0.0,0.64,,,,,,,,,,,,,,,,,,1045074.0,567143.0,477931.0,,,1030.0,134.0,72.72,61.28,,1321.0,72.22,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,
BOL,South America,Bolivia,2021-09-02,491759.0,419.0,403.714,18486.0,13.0,16.429,41558.494,35.41,34.118,1562.25,1.099,1.388,0.9,,,,,,,,,8598.0,2253463.0,190.44,0.727,6605.0,0.558,0.086,11.7,tests performed,6057656.0,4035898.0,2796280.0,,37996.0,68961.0,51.19,34.11,23.63,,5828.0,44.91,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,
BIH,Europe,Bosnia and Herzegovina,2021-09-02,215313.0,554.0,517.714,9847.0,32.0,11.0,65976.928,169.759,158.64,3017.351,9.806,3.371,1.53,,,,,,,,,3131.0,1138215.0,348.776,0.959,145494.0,44.583,0.003,293.5,tests performed,,,,,,,,,,,,35.19,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,
BWA,Africa,Botswana,2021-09-02,159317.0,2390.0,789.143,2276.0,15.0,9.0,66458.511,996.98,329.188,949.425,6.257,3.754,1.19,,,,,,,,,,,,,,,,,,528003.0,320308.0,207695.0,,,13337.0,22.03,13.36,8.66,,5563.0,73.15,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,
BRA,South America,Brazil,2021-09-02,20830495.0,26280.0,21990.571,581914.0,764.0,621.286,97341.745,122.808,102.763,2719.308,3.57,2.903,0.89,,,,,,,,,,,,,,,,,,195521167.0,136458383.0,63515389.0,,2441116.0,1944686.0,91.37,63.77,29.68,,9088.0,51.39,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,
VGB,North America,British Virgin Islands,2021-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29828.0,17095.0,12733.0,,,57.0,98.04,56.19,41.85,,1874.0,,30423.0,207.973,,,,,,,13.67,,,,,79.07,,
BRN,Asia,Brunei,2021-09-02,2960.0,102.0,114.429,12.0,1.0,0.857,6703.931,231.014,259.163,27.178,2.265,1.941,1.42,,,,,,,,,,,,,,,,,,327825.0,231613.0,96212.0,,,7365.0,74.25,52.46,21.79,,16681.0,79.63,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,
BGR,Europe,Bulgaria,2021-09-02,459051.0,1564.0,1517.143,19001.0,51.0,50.571,66561.398,226.777,219.982,2755.104,7.395,7.333,1.23,297.0,43.064,3369.0,488.498,,,,,,4199250.0,608.882,,22127.0,3.208,0.068,14.7,tests performed,2336831.0,,1188377.0,,12188.0,9582.0,33.88,,17.23,,1389.0,,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BFA,Africa,Burkina Faso,2021-09-02,13798.0,21.0,7.0,171.0,0.0,0.0,641.854,0.977,0.326,7.955,0.0,0.0,1.1,,,,,,,,,,,,,,,,,,108799.0,108799.0,13273.0,,,1266.0,0.51,0.51,0.06,,59.0,13.89,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,
BDI,Africa,Burundi,2021-09-02,12585.0,0.0,140.857,38.0,0.0,0.0,1026.892,0.0,11.493,3.101,0.0,0.0,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,
KHM,Asia,Cambodia,2021-09-02,93926.0,416.0,424.0,1928.0,12.0,12.429,5542.519,24.548,25.02,113.77,0.708,0.733,0.9,,,,,,,,,,,,,,,,,,19246143.0,10894597.0,8594733.0,624380.0,160220.0,184716.0,113.57,64.29,50.72,3.68,10900.0,70.37,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,
CMR,Africa,Cameroon,2021-09-02,84210.0,0.0,112.143,1357.0,0.0,1.0,3093.197,0.0,4.119,49.845,0.0,0.037,0.21,,,,,,,,,,,,,,,,,,428255.0,349385.0,78870.0,,,1446.0,1.57,1.28,0.29,,53.0,27.78,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,
